"year.f","pred","predtrans","year","year2","year.c","predlinear","residuals","sqq"
"2010",0.910354902521603,2.48520438219232,2010,13,1.5,2.5346300510595,0.0494256688671855,790
"2011",1.00081987722531,2.72051139968462,2011,14,2.5,2.50789758120621,-0.212613818478411,790
"2012",1.07783782144338,2.93831950633802,2012,15,3.5,2.48116511135292,-0.457154394985104,790
"2013",0.992996170958886,2.69930996265246,2013,16,4.5,2.45443264149963,-0.244877321152837,790
"2014",0.670701407497163,1.95560851817177,2014,17,5.5,2.42770017164634,0.472091653474566,790
"2015",0.702974592886631,2.01975171983593,2015,18,6.5,2.40096770179304,0.38121598195711,790
"2016",1.16215825252912,3.19682539246554,2016,19,7.5,2.37423523193975,-0.822590160525787,790
"2017",0.514609044966703,1.67298431228901,2017,20,8.5,2.34750276208646,0.674518449797457,790
"2018",1.07882606085123,2.94122470474637,2018,21,9.5,2.32077029223317,-0.620454412513204,790
"2019",0.683784839273173,1.98136269795277,2019,22,10.5,2.29403782237988,0.312675124427113,790
"1998",-1.28785428830664,0.275862068965518,1998,1,-10.5789473684211,0.620598197519813,0.344736128554295,716
"1999",0.54654370636807,1.72727272727273,1999,2,-9.57894736842105,0.705660682697092,-1.02161204457564,716
"2000",-0.287682072451781,0.75,2000,3,-8.57894736842105,0.790723167874371,0.0407231678743714,716
"2002",0.780158557549575,2.18181818181818,2002,5,-6.57894736842105,0.96084813822893,-1.22097004358925,716
"2003",-0.659245628884264,0.517241379310345,2003,6,-5.57894736842105,1.04591062340621,0.528669244095864,716
"2004",-0.367724780125317,0.692307692307693,2004,7,-4.57894736842105,1.13097310858349,0.438665416275796,716
"2005",0.693147180559944,2,2005,8,-3.57894736842105,1.21603559376077,-0.78396440623923,716
"2006",-0.0606246218164348,0.941176470588235,2006,9,-2.57894736842105,1.30109807893805,0.359921608349812,716
"2007",-1.3862943611193,0.250000000000147,2007,10,-1.57894736842105,1.38616056411533,1.13616056411518,716
"2009",0.336472236621214,1.4,2009,12,0.421052631578947,1.55628553446988,0.156285534469883,716
"2010",0.305381649551182,1.35714285714286,2010,13,1.42105263157895,1.64134801964716,0.284205162504307,716
"2011",-0.336472236621212,0.714285714285715,2011,14,2.42105263157895,1.72641050482444,1.01212479053873,716
"2012",0.8754687373539,2.4,2012,15,3.42105263157895,1.81147299000172,-0.588527009998278,716
"2013",-0.105360515657826,0.9,2013,16,4.42105263157895,1.896535475179,0.996535475179002,716
"2014",0.546543706368071,1.72727272727273,2014,17,5.42105263157895,1.98159796035628,0.254325233083552,716
"2016",0.955511445027434,2.59999999999999,2016,19,7.42105263157895,2.15172293071084,-0.448277069289153,716
"2017",1.09861228866811,3,2017,20,8.42105263157895,2.23678541588812,-0.763214584111878,716
"2018",1.38629436111989,3.99999999999999,2018,21,9.42105263157895,2.3218479010654,-1.67815209893459,716
"2019",0.37469344944141,1.45454545454545,2019,22,10.4210526315789,2.40691038624268,0.952364931697223,716
"1999",0.267062785249045,1.30612244897959,1999,1,-9.07692307692308,1.14339369295706,-0.162728756022534,713
"2001",0.340325805937203,1.40540540540541,2001,3,-7.07692307692308,1.16544388763143,-0.239961517773972,713
"2002",0.367724780125317,1.44444444444444,2002,4,-6.07692307692308,1.17646898496862,-0.267975459475823,713
