"cors","focal","sqq","nyears"
-0.440703792740866,"716","749",9
-0.34441197179115,"716","750",18
-0.00353150231669486,"716","752",20
0.0623465862358921,"716","753",21
0.865029361357413,"716","787",6
0.16000124790909,"716","788",7
0.18302616276782,"716","789",21
0.0758923245119826,"716","790",21
0.0631852271688068,"716","822",14
-0.497079963829785,"716","823",12
0.136400161145151,"716","824",6
-0.0174336930630603,"716","825",17
-0.0374181150264208,"716","826",20
0.0634481417123727,"716","827",21
0.12707910988328,"716","828",13
-0.246223548492029,"716","861",11
0.585880882949559,"716","863",12
0.458270676859318,"716","864",21
0.0432184054909597,"716","865",21
-0.216202324737333,"716","866",6
-0.0896917466235849,"716","898",13
0.683626306051612,"716","899",21
0.647264086699732,"716","900",21
0.466760210245464,"716","901",21
0.337380107990261,"716","902",21
-0.221504436875386,"716","903",6
0.872100028814869,"716","934",9
0.325486357286669,"716","935",14
0.021613125232813,"716","936",20
0.327348165785477,"716","937",21
-0.0168979443085895,"716","938",21
0.208953866962168,"716","939",20
1,"749","749",10
-0.492671484552291,"749","750",10
0.453862927490816,"749","752",10
0.0104479423028482,"749","753",10
NA,"749","787",1
0.110298499055891,"749","788",7
0.296522927317923,"749","789",10
0.44551109703887,"749","790",10
-1,"749","822",2
0.221371039243045,"749","823",9
NA,"749","824",0
-0.224144742678662,"749","825",5
-0.290204488123959,"749","826",10
0.405798090585299,"749","827",10
-0.16379408395264,"749","828",6
-0.542292656291812,"749","861",5
0.24657532416,"749","863",7
0.406243184256677,"749","864",10
-0.0757185352735452,"749","865",10
NA,"749","866",0
0.0529591562028306,"749","898",5
-0.310854797802064,"749","899",10
-0.223515572239317,"749","900",10
0.156827717358252,"749","901",10
0.0508200397494416,"749","902",10
NA,"749","903",0
NA,"749","934",0
0.108855738083356,"749","935",4
0.283800419453528,"749","936",10
-0.569590561452934,"749","937",10
-0.603406136972752,"749","938",10
0.0283660631192802,"749","939",10
1,"750","750",19
0.288673506133268,"750","752",19
-0.0750830271550838,"750","753",19
-0.107737576109557,"750","787",5
0.199956288978481,"750","788",7
-0.30416532252947,"750","789",19
0.0468967753198389,"750","790",19
0.123869534352152,"750","822",11
-0.317033992337741,"750","823",12
0.156935016627336,"750","824",5
-0.114970124970794,"750","825",14
0.325906020746017,"750","826",19
-0.179271812845908,"750","827",19
0.154356946288846,"750","828",12
0.548426543320188,"750","861",10
0.0917371077841503,"750","863",11
-0.213768440939047,"750","864",19
0.0398777776969134,"750","865",19
-0.882261302517295,"750","866",4
0.0383100592259655,"750","898",11
-0.135960848213581,"750","899",19
-0.489877233685849,"750","900",19
-0.305647202326712,"750","901",19
-0.367533521804217,"750","902",19
-0.559583632937632,"750","903",4
-0.598103598771781,"750","934",6
0.0582841645499111,"750","935",13
-0.226091814836187,"750","936",19
-0.164736259104017,"750","937",19
-0.188225164632325,"750","938",19
